,Churn,Tenure,PreferedOrderCat,Complain,CashbackAmount,DaySinceLastOrder,SatisfactionScore,Gender,MaritalStatus
0,1,4.0,Laptop & Accessory,1,159.93,5.0,2,Female,Single
1,1,10.189899366380917,Mobile,1,120.9,0.0,3,Male,Single
2,1,10.189899366380917,Mobile,1,120.28,3.0,3,Male,Single
3,1,0.0,Laptop & Accessory,0,134.07,3.0,5,Male,Single
4,1,0.0,Mobile,0,129.6,3.0,5,Male,Single
5,1,0.0,Mobile Phone,1,139.19,7.0,5,Female,Single
6,1,10.189899366380917,Laptop & Accessory,0,120.86000000000001,0.0,2,Male,Divorced
7,1,10.189899366380917,Mobile,1,122.93,0.0,2,Male,Divorced
8,1,13.0,Mobile,1,126.83000000000001,2.0,3,Male,Divorced
9,1,10.189899366380917,Mobile,0,122.93,1.0,3,Male,Single
10,1,4.0,Others,0,295.45,8.0,3,Female,Divorced
11,1,11.0,Fashion,1,153.81,0.0,3,Male,Single
12,1,0.0,Mobile,1,134.41,2.0,3,Male,Single
13,1,0.0,Mobile,1,133.88,0.0,3,Male,Divorced
14,1,9.0,Fashion,0,196.19,7.0,2,Male,Single
15,1,10.189899366380917,Mobile,1,120.72999999999999,2.0,5,Male,Married
16,1,0.0,Mobile,1,129.26,0.0,2,Female,Single
17,1,0.0,Laptop & Accessory,1,157.44,3.0,3,Male,Single
18,1,0.0,Laptop & Accessory,1,160.74,6.0,3,Male,Single
19,1,19.0,Mobile Phone,1,149.63,3.0,4,Female,Divorced
20,1,0.0,Laptop & Accessory,1,161.72,7.0,3,Male,Divorced
21,1,20.0,Fashion,0,203.12,6.0,2,Female,Divorced
22,1,10.189899366380917,Mobile Phone,1,116.75,0.0,3,Male,Single
23,1,0.0,Laptop & Accessory,1,145.59,2.0,3,Female,Divorced
24,1,14.0,Fashion,0,206.5,3.0,2,Male,Single
25,1,0.0,Mobile Phone,0,142.0,4.0,5,Female,Single
26,0,8.0,Fashion,0,172.95,6.0,4,Male,Divorced
27,0,10.189899366380917,Laptop & Accessory,1,123.06,5.0,3,Male,Divorced
28,0,18.0,Laptop & Accessory,0,123.47999999999999,15.0,4,Male,Married
29,0,5.0,Fashion,0,189.98,7.0,2,Female,Single
30,0,2.0,Laptop & Accessory,0,143.19,9.0,3,Male,Divorced
31,0,0.0,Laptop & Accessory,0,161.32,0.0,3,Male,Divorced
32,0,30.0,Mobile,1,133.46,0.0,4,Female,Divorced
33,0,13.0,Fashion,0,208.55,11.0,2,Male,Divorced
34,0,10.189899366380917,Mobile,0,122.31,2.0,3,Female,Divorced
35,0,0.0,Mobile,0,123.22999999999999,2.0,2,Male,Divorced
36,0,10.189899366380917,Mobile,0,120.24000000000001,2.0,4,Male,Married
37,0,1.0,Mobile,0,127.13,2.0,2,Male,Divorced
38,0,30.0,Fashion,1,194.39,4.0,2,Male,Married
39,0,0.0,Mobile,1,125.66,1.0,3,Male,Married
40,0,23.0,Others,0,299.26,4.0,4,Female,Single
41,0,14.0,Mobile,0,124.50999999999999,8.0,3,Male,Married
42,0,3.0,Fashion,0,194.19,4.0,2,Female,Divorced
43,0,11.0,Laptop & Accessory,0,186.86,1.0,2,Female,Single
44,0,5.0,Mobile,0,130.38,4.0,3,Male,Single
45,0,0.0,Mobile,1,130.58,1.0,4,Male,Divorced
46,1,0.0,Mobile,0,123.25,0.0,5,Female,Single
47,0,10.189899366380917,Mobile,0,120.88,2.0,4,Male,Single
48,0,3.0,Laptop & Accessory,0,130.72,10.0,5,Male,Married
49,0,18.0,Laptop & Accessory,1,150.06,3.0,5,Female,Married
50,0,29.0,Mobile Phone,1,142.57,2.0,5,Female,Married
51,0,6.0,Mobile,0,125.0,2.0,2,Male,Single
52,1,0.0,Mobile Phone,0,111.02000000000001,0.0,2,Male,Single
53,0,19.0,Fashion,0,204.53,7.0,5,Female,Married
54,0,10.189899366380917,Mobile,0,122.88,1.0,2,Female,Single
55,0,4.0,Mobile Phone,1,139.29,2.0,2,Female,Divorced
56,0,10.189899366380917,Mobile,0,123.11000000000001,2.0,4,Female,Single
57,1,4.0,Mobile,1,131.4,2.0,4,Female,Single
58,0,23.0,Mobile Phone,0,136.9,2.0,3,Male,Divorced
59,0,26.0,Laptop & Accessory,0,144.5,3.0,5,Female,Married
60,0,6.0,Mobile,0,127.56,6.0,4,Female,Divorced
61,0,13.0,Others,0,290.33,9.0,3,Female,Divorced
62,0,28.0,Others,0,287.22,15.0,4,Male,Single
63,0,7.0,Laptop & Accessory,0,195.47,9.0,3,Male,Divorced
64,0,24.0,Grocery,0,237.33999999999997,0.0,4,Female,Single
65,0,25.0,Others,0,299.99,9.0,3,Male,Divorced
66,0,10.189899366380917,Mobile,0,122.78999999999999,3.0,4,Female,Single
67,1,0.0,Laptop & Accessory,1,159.16,1.0,3,Male,Divorced
68,0,10.189899366380917,Mobile,0,120.88999999999999,2.0,2,Male,Married
69,0,18.0,Grocery,0,267.92,8.0,2,Male,Divorced
70,0,10.0,Mobile Phone,1,135.64,7.0,5,Male,Divorced
71,0,8.0,Laptop & Accessory,0,144.25,2.0,4,Female,Single
72,0,15.0,Laptop & Accessory,0,152.65,2.0,3,Female,Married
73,0,11.0,Laptop & Accessory,0,165.53,0.0,3,Male,Divorced
74,0,11.0,Laptop & Accessory,0,162.61,7.0,2,Male,Divorced
75,0,0.0,Laptop & Accessory,0,142.98,0.0,5,Male,Divorced
76,0,22.0,Laptop & Accessory,1,168.04,7.0,2,Male,Married
77,0,7.0,Mobile Phone,1,138.15,0.0,3,Male,Married
78,0,13.0,Laptop & Accessory,1,127.41,7.0,2,Male,Divorced
79,1,1.0,Laptop & Accessory,1,166.73,0.0,5,Male,Divorced
80,1,0.0,Fashion,0,176.39,9.0,2,Female,Divorced
81,0,0.0,Mobile,1,123.28,2.0,4,Male,Married
82,0,10.189899366380917,Mobile,0,121.53,7.0,2,Female,Single
83,0,13.0,Laptop & Accessory,0,148.76,2.0,2,Male,Divorced
84,0,19.0,Fashion,0,193.96,3.0,5,Male,Married
85,1,0.0,Fashion,0,204.0,8.0,2,Male,Divorced
86,0,3.0,Fashion,0,184.74,8.0,3,Male,Single
87,0,0.0,Laptop & Accessory,0,199.81,7.0,3,Female,Single
88,0,24.0,Fashion,0,224.89999999999998,4.543490512868683,4,Male,Divorced
89,1,0.0,Mobile,1,126.57,4.0,5,Female,Single
90,0,14.0,Fashion,1,235.91000000000003,0.0,2,Female,Single
91,1,0.0,Laptop & Accessory,0,166.96,1.0,5,Female,Single
92,1,10.189899366380917,Mobile,0,120.58000000000001,5.0,3,Male,Single
93,0,18.0,Fashion,0,188.65,8.0,2,Female,Single
94,0,27.0,Laptop & Accessory,0,159.4,5.0,5,Female,Divorced
95,0,9.0,Laptop & Accessory,0,159.14,7.0,4,Male,Single
96,0,6.0,Mobile,0,126.22,1.0,4,Female,Divorced
97,0,10.0,Fashion,1,221.85000000000002,4.543490512868683,2,Male,Married
98,0,11.0,Fashion,0,206.08999999999997,13.0,3,Male,Married
99,0,4.0,Laptop & Accessory,0,143.45,4.0,3,Male,Divorced
100,0,10.189899366380917,Mobile,0,121.77000000000001,0.0,2,Male,Divorced
102,0,2.0,Fashion,0,179.18,1.0,2,Female,Divorced
103,0,8.0,Fashion,0,187.89,8.0,3,Female,Single
104,1,0.0,Mobile,1,123.88999999999999,1.0,2,Male,Single
105,0,25.0,Mobile,0,132.12,2.0,2,Female,Single
106,0,15.0,Others,0,292.32,15.0,2,Male,Divorced
107,0,10.189899366380917,Mobile,0,122.66999999999999,2.0,3,Male,Divorced
108,0,23.0,Others,0,295.17,6.0,2,Female,Married
109,1,0.0,Mobile,1,124.36000000000001,4.0,2,Male,Divorced
110,0,16.0,Grocery,1,260.64,9.0,2,Female,Divorced
111,1,0.0,Mobile,0,127.07,7.0,5,Female,Divorced
112,0,25.0,Others,1,290.68,12.0,3,Male,Single
113,0,5.0,Mobile Phone,0,139.31,2.0,4,Female,Divorced
114,1,0.0,Mobile Phone,1,137.3,2.0,3,Male,Single
115,0,10.189899366380917,Mobile,0,122.32,2.0,3,Female,Married
116,0,5.0,Laptop & Accessory,0,144.65,2.0,2,Male,Divorced
117,0,14.0,Laptop & Accessory,0,130.72,0.0,5,Male,Married
118,0,13.0,Laptop & Accessory,0,133.19,7.0,2,Male,Married
119,0,18.0,Others,0,292.02,7.0,2,Male,Divorced
120,0,4.0,Fashion,0,236.75,2.0,3,Male,Married
121,0,6.0,Mobile,0,129.11,2.0,2,Female,Divorced
122,0,7.0,Laptop & Accessory,0,159.57,9.0,5,Male,Divorced
123,0,10.0,Mobile Phone,0,139.2,2.0,5,Female,Divorced
124,0,18.0,Laptop & Accessory,0,164.34,2.0,3,Male,Divorced
125,1,0.0,Fashion,0,200.48,0.0,3,Male,Married
126,0,12.0,Fashion,0,209.38,4.543490512868683,3,Female,Single
127,0,2.0,Mobile,0,123.4,5.0,2,Male,Single
128,0,15.0,Laptop & Accessory,1,165.45,2.0,5,Female,Single
129,0,2.0,Laptop & Accessory,0,169.31,2.0,2,Male,Married
130,0,0.0,Laptop & Accessory,0,148.98,2.0,3,Female,Divorced
131,0,15.0,Mobile,1,125.93,8.0,5,Female,Married
132,0,13.0,Others,0,294.36,9.0,3,Male,Married
133,0,24.0,Mobile,0,127.22999999999999,0.0,2,Male,Divorced
134,1,0.0,Mobile,0,134.79,4.0,4,Male,Single
135,0,5.0,Mobile,0,127.94,3.0,4,Male,Divorced
136,0,11.0,Laptop & Accessory,0,152.49,5.0,2,Male,Divorced
137,0,10.189899366380917,Laptop & Accessory,0,121.75999999999999,4.0,5,Male,Single
138,0,19.0,Grocery,1,268.72,7.0,4,Female,Divorced
139,1,0.0,Mobile,0,134.85,0.0,3,Male,Single
140,0,2.0,Laptop & Accessory,0,166.44,0.0,4,Male,Divorced
141,0,4.0,Laptop & Accessory,0,155.82,8.0,2,Male,Divorced
142,0,0.0,Laptop & Accessory,0,140.0,5.0,5,Male,Married
143,0,18.0,Grocery,1,234.95999999999998,10.0,2,Male,Divorced
144,0,9.0,Mobile,0,132.1,11.0,2,Male,Divorced
145,0,28.0,Others,1,290.45,13.0,5,Male,Single
146,1,10.0,Fashion,1,218.49,4.543490512868683,4,Male,Divorced
147,0,10.189899366380917,Mobile,0,120.69999999999999,4.0,2,Male,Divorced
148,0,10.0,Laptop & Accessory,0,165.02,1.0,2,Male,Divorced
149,0,0.0,Mobile,0,132.3,0.0,3,Male,Single
150,0,10.0,Fashion,1,236.02999999999997,2.0,2,Female,Married
151,0,2.0,Fashion,0,219.95999999999998,4.543490512868683,4,Female,Married
152,0,11.0,Laptop & Accessory,1,156.05,7.0,5,Female,Married
153,0,0.0,Laptop & Accessory,0,163.97,4.0,4,Female,Married
154,0,23.0,Others,0,291.44,6.0,4,Male,Married
155,0,26.0,Grocery,1,275.84,3.0,3,Male,Divorced
156,0,15.0,Laptop & Accessory,0,149.07,6.0,3,Male,Divorced
157,0,2.0,Laptop & Accessory,0,145.54,9.0,2,Male,Single
158,0,28.0,Laptop & Accessory,1,154.15,8.0,2,Male,Divorced
159,0,0.0,Laptop & Accessory,1,147.41,3.0,5,Male,Divorced
160,0,10.189899366380917,Mobile,0,121.15,7.0,2,Female,Single
161,1,7.0,Mobile,1,131.61,0.0,3,Male,Married
162,0,11.0,Laptop & Accessory,0,157.45,2.0,2,Male,Married
163,1,0.0,Mobile,1,123.72999999999999,2.0,4,Male,Married
164,0,1.0,Mobile,0,133.1,2.0,2,Female,Single
165,0,22.0,Others,1,286.65,2.0,5,Female,Single
166,0,9.0,Laptop & Accessory,0,144.85,7.0,4,Male,Single
167,0,4.0,Mobile,0,127.88999999999999,2.0,4,Female,Married
168,1,0.0,Laptop & Accessory,1,158.28,4.0,2,Male,Single
169,0,10.0,Mobile,1,123.25999999999999,2.0,2,Male,Divorced
170,0,15.0,Grocery,0,235.25,8.0,4,Female,Divorced
171,1,10.189899366380917,Mobile Phone,0,114.19999999999999,0.0,3,Male,Single
172,0,8.0,Fashion,0,180.2,9.0,4,Male,Divorced
173,0,9.0,Mobile Phone,0,136.88,0.0,2,Male,Divorced
174,0,24.0,Laptop & Accessory,0,154.82,2.0,4,Male,Married
175,0,14.0,Grocery,0,260.15,4.0,4,Male,Single
176,0,0.0,Mobile Phone,0,112.0,0.0,3,Female,Single
177,0,1.0,Laptop & Accessory,0,156.61,7.0,5,Male,Single
178,0,4.0,Laptop & Accessory,0,169.29,7.0,2,Male,Divorced
179,0,12.0,Fashion,0,196.13,7.0,2,Male,Married
180,0,9.0,Laptop & Accessory,0,156.74,8.0,4,Female,Divorced
181,0,5.0,Laptop & Accessory,0,154.84,8.0,3,Male,Divorced
182,0,11.0,Fashion,0,220.61,4.543490512868683,4,Female,Divorced
183,0,30.0,Laptop & Accessory,1,156.6,2.0,3,Male,Married
184,0,4.0,Mobile Phone,1,148.21,3.0,2,Male,Divorced
185,0,4.0,Laptop & Accessory,0,164.1,0.0,5,Male,Divorced
186,0,18.0,Fashion,0,152.1,11.0,5,Male,Married
187,0,4.0,Mobile,1,126.94999999999999,2.0,2,Male,Married
188,0,6.0,Fashion,0,218.77999999999997,4.543490512868683,4,Female,Divorced
189,0,12.0,Grocery,1,270.68,10.0,5,Male,Divorced
190,0,16.0,Mobile,0,124.55000000000001,7.0,2,Female,Single
191,0,22.0,Grocery,1,239.64,7.0,3,Female,Single
192,1,15.0,Laptop & Accessory,0,149.41,7.0,4,Male,Divorced
193,0,0.0,Mobile,1,124.78,2.0,4,Female,Single
194,0,5.0,Laptop & Accessory,1,152.28,9.0,4,Female,Divorced
195,0,0.0,Laptop & Accessory,1,144.78,4.0,3,Male,Single
196,0,4.0,Laptop & Accessory,0,175.47,7.0,2,Male,Married
197,0,5.0,Laptop & Accessory,0,150.55,7.0,2,Female,Single
198,1,0.0,Mobile,1,134.64,2.0,2,Male,Divorced
